# Edge events for shell 97.5бу
# start_epoch, end_epoch, satellite_i, satellite_j
46 47 15 270
0 120 136 151
45 46 13 1020
0 120 204 322
0 120 251 254
0 120 346 900
0 120 542 546
0 120 899 963
0 120 117 668
0 1 32 215
92 95 32 215
0 120 483 496
0 120 199 737
0 120 350 906
15 16 22 695
109 110 22 695
0 120 0 793
0 120 265 273
0 120 317 320
80 90 33 561
0 120 184 730
0 120 337 972
15 15 27 221
109 109 27 221
0 120 84 383
0 120 785 839
53 54 15 283
0 120 609 613
87 87 18 517
16 17 22 816
110 111 22 816
0 120 380 381
0 120 36 571
0 120 187 740
0 120 869 954
28 33 11 514
19 21 13 444
112 115 13 444
0 120 25 269
0 120 235 1045
78 79 2 694
0 120 82 165
0 120 193 819
27 28 29 159
0 120 103 108
0 120 707 1040
0 120 174 397
0 120 974 975
0 120 83 395
18 22 42 214
112 116 42 214
0 120 449 452
0 120 200 800
43 45 33 394
0 120 525 856
0 120 544 869
10 13 11 226
104 107 11 226
25 26 32 169
119 120 32 169
0 120 461 462
0 120 328 347
73 77 42 744
0 120 205 213
0 120 512 513
40 40 27 764
0 120 690 928
0 120 162 171
32 35 33 286
0 120 1041 1042
0 120 73 996
0 120 516 519
0 120 199 812
0 120 848 849
0 120 152 242
49 50 33 1045
0 120 192 809
0 120 76 1006
0 120 467 748
0 120 525 869
0 120 852 855
0 120 579 580
0 120 290 297
58 59 42 986
0 120 342 344
0 120 914 915
0 1 23 478
92 95 23 478
0 120 210 304
0 120 504 522
0 120 556 569
0 120 893 977
89 90 32 303
0 120 5 20
0 120 357 359
0 120 65 71
0 120 203 301
0 120 636 826
82 82 6 659
19 19 18 484
113 113 18 484
0 120 649 652
0 120 748 860
0 120 693 924
0 120 706 1043
62 68 11 481
0 120 401 407
0 120 206 311
0 120 700 703
27 28 4 478
120 120 4 478
79 81 42 590
0 120 561 660
3 6 15 492
96 99 15 492
88 91 18 497
16 18 4 599
110 112 4 599
0 120 124 664
0 120 36 551
11 11 4 190
105 105 4 190
0 120 127 669
0 120 830 1055
8 10 42 302
102 104 42 302
0 120 190 200
0 120 541 543
0 120 123 555
0 40 13 15
59 120 13 15
0 120 623 841
0 120 16 20
0 120 350 719
43 43 27 852
0 120 806 819
0 120 0 835
63 63 22 508
0 120 91 199
0 120 589 592
0 120 118 561
0 120 300 309
0 120 747 769
0 120 217 311
48 49 15 96
0 120 87 201
0 120 787 841
0 120 581 593
0 120 600 606
0 120 652 653
0 120 830 1068
0 120 363 370
0 120 382 383
0 120 197 746
0 120 772 834
0 120 252 273
0 120 288 312
0 120 221 322
0 120 307 325
73 73 4 553
0 120 213 318
51 51 18 222
0 120 666 672
0 120 863 957
22 24 32 391
116 118 32 391
0 120 1053 1054
0 120 98 107
7 8 6 518
101 102 6 518
26 27 22 871
0 120 740 742
83 85 4 36
0 120 198 804
57 58 15 459
0 120 191 1030
0 120 1068 1074
35 36 27 698
0 120 850 851
13 14 27 289
107 108 27 289
31 32 33 220
0 120 868 905
0 120 156 699
0 120 202 815
0 120 211 226
0 120 345 980
0 120 68 177
0 120 263 273
72 75 42 799
0 120 531 847
86 86 22 475
0 120 204 223
0 120 462 747
0 120 170 984
0 120 388 389
0 120 46 51
0 120 48 60
53 53 13 1042
0 120 602 619
0 120 640 645
0 120 708 1045
0 120 411 413
0 120 892 982
0 120 542 869
0 120 83 175
0 120 624 642
0 120 341 699
0 120 346 1043
0 120 0 406
0 120 747 749
39 45 6 485
0 120 521 522
0 120 526 866
0 120 162 998
0 120 449 762
0 120 402 421
0 120 522 523
0 120 220 301
0 120 530 872
84 85 6 1015
0 120 825 1054
0 120 59 60
0 120 185 199
0 120 66 1002
72 74 33 596
0 120 0 419
3 4 11 657
96 97 11 657
0 120 8 14
0 120 153 1006
0 120 145 248
5 8 21 478
98 102 21 478
0 120 623 775
0 120 769 866
0 120 343 349
0 120 710 1045
0 120 583 595
23 27 33 308
117 120 33 308
51 52 13 70
0 120 339 908
44 45 18 35
0 120 148 150
36 36 29 953
11 13 2 441
105 107 2 441
0 120 857 955
0 120 336 960
0 120 353 375
0 120 985 997
0 120 0 782
19 20 27 390
113 114 27 390
0 120 192 723
1 4 13 492
95 98 13 492
0 120 189 797
48 49 33 141
0 120 206 212
0 120 258 259
0 120 549 551
0 120 738 1012
0 120 218 222
0 120 151 1035
0 120 550 552
0 120 98 800
0 120 261 269
11 11 32 217
104 105 32 217
0 120 885 887
0 120 424 448
0 120 341 908
0 120 784 840
0 120 99 737
0 120 55 56
0 120 28 39
0 120 88 90
80 81 2 804
0 120 660 661
77 80 18 519
0 120 97 812
0 120 309 323
0 120 28 569
0 120 187 742
0 120 970 971
22 24 11 516
116 117 11 516
0 120 154 156
0 120 71 158
0 120 157 984
0 120 95 106
0 120 143 1049
0 120 87 102
0 120 166 395
0 120 438 445
0 120 457 458
48 48 33 396
0 120 109 800
90 90 2 408
17 19 29 282
111 113 29 282
0 120 140 1052
0 120 556 558
0 120 902 966
0 120 156 996
20 22 33 288
114 116 33 288
56 57 13 459
0 120 764 852
0 120 694 936
0 120 191 810
0 120 807 813
0 120 877 914
0 120 797 805
0 120 192 811
0 120 61 62
0 120 337 1049
0 120 508 522
0 120 280 286
73 74 2 650
0 120 235 1001
0 120 768 863
0 120 854 866
22 23 4 467
116 117 4 467
84 86 42 579
50 52 22 484
0 120 397 398
0 120 674 935
0 120 286 301
0 120 628 824
0 120 276 293
0 120 713 1048
18 19 4 588
113 113 4 588
0 120 155 232
0 120 980 983
0 120 419 421
56 58 33 880
0 120 69 79
0 120 748 862
50 57 11 483
106 106 11 74
0 120 183 186
0 120 755 757
0 120 625 1056
24 24 22 906
118 118 22 906
0 120 625 647
0 120 883 942
0 120 462 769
74 76 27 203
0 120 131 669
52 53 33 134
0 120 459 471
0 120 535 875
0 120 238 243
0 120 277 314
0 120 116 662
6 8 4 192
100 101 4 192
0 120 759 768
0 120 830 1057
7 10 27 324
101 104 27 324
0 120 481 494
0 120 623 843
39 42 2 267
0 120 119 672
75 76 21 137
0 120 315 318
13 15 1 42
108 109 1 42
0 120 531 882
0 120 0 837
0 120 564 650
0 120 264 272
0 120 984 1007
0 120 256 268
39 41 33 376
66 78 27 36
36 36 32 151
25 30 21 487
119 120 21 487
0 120 161 381
0 120 301 312
39 42 42 317
0 120 663 664
0 120 728 1022
0 120 627 827
0 120 355 368
0 120 954 956
0 120 706 711
92 92 6 1037
0 120 564 663
46 48 13 789
0 120 729 730
0 120 869 890
0 120 990 1000
3 7 33 209
97 101 33 209
57 57 15 978
0 120 890 949
21 24 21 500
115 118 21 500
0 120 351 375
0 120 856 956
0 120 68 166
0 120 70 392
0 120 493 495
0 7 42 559
91 101 42 559
49 51 4 267
0 120 77 171
0 120 1064 1070
0 120 80 176
0 120 1057 1067
4 7 29 216
